0	1	o
1	2	v
2	3	e
3	4	r
4	5	h
5	6	e
6	7	t
7	8	a
8	9	l
9	10	g
10	11	e
11	12	m
12	13	e
13	14	e
14	15	n
15	16	a
16	17	l
17	18	t
18	19	i
19	20	j
20	21	d
21	22	o
22	23	l
23	24	i
24	25	e
25	26	b
26	27	o
27	28	l
28	29	l
29	30	e
30	31	n
31	32	k
32	33	r
33	34	e
34	35	n
35	36	t
36	37	e
37	38	n
38	39	b
39	40	o
40	41	l
41	42	l
42	43	e
43	44	n
44	45	e
45	46	n
46	47	a
47	48	p
48	49	p
49	50	e
50	51	l
51	52	f
52	53	l
53	54	a
54	55	p
55	56	p
56	57	e
57	58	n
58	59	t
59	60	u
60	61	s
61	62	s
62	63	e
63	64	n
64	65	d
65	66	e
66	67	k
67	68	e
68	69	r
69	70	s
70	71	t
71
