0	1	e
1	2	e
2	3	n
3	4	g
4	5	e
5	6	d
6	7	i
7	8	c
8	9	h
9	10	t
10	11	<silence>
10	11	e
11	12	e
12	13	n
13	14	o
14	15	n
15	16	w
16	17	a
17	18	a
18	19	r
19	20	s
20	21	c
21	22	h
22	23	i
23	24	j
24	25	n
25	26	l
26	27	i
27	28	j
28	29	k
29	30	s
30	31	i
31	32	m
32	33	p
33	34	e
34	35	l
35	36	s
36	37	t
37	38	u
38	39	k
39	40	j
40	41	e
41	42	t
42	43	a
43	44	a
44	45	l
45	46	w
46	47	a
47	48	t
48	49	j
49	50	e
50	51	t
51	52	o
52	53	c
53	54	h
54	55	a
55	56	a
56	57	n
57	58	h
58	59	e
59	60	t
60	61	d
61	62	e
62	63	n
63	64	k
64	65	e
65	66	n
66	67	z
67	68	e
68	69	t
69
