0	1	d
1	2	a
2	3	a
3	4	r
4	5	w
5	6	o
6	7	r
7	8	d
8	9	t
9	10	h
10	11	e
11	12	e
12	13	l
13	14	v
14	15	e
15	16	r
16	17	s
17	18	c
18	19	h
19	20	i
20	21	l
21	22	l
22	23	e
23	24	n
24	25	d
25	26	o
26	27	v
27	28	e
28	29	r
29	30	g
30	31	e
31	32	d
32	33	a
33	34	c
34	35	h
35	36	t
36	37	<silence>
36	37	e
37	38	n
38	39	d
39	40	e
40	41	m
41	42	e
42	43	n
43	44	i
44	45	n
45	46	g
46	47	e
47	48	n
48	49	l
49	50	o
50	51	p
51	52	e
52	53	n
53	54	h
54	55	o
55	56	o
56	57	g
57	58	o
58	59	p
59	60	<silence>
59	60	j
60	61	a
61	62	w
62	63	i
63	64	j
64	65	b
65	66	e
66	67	g
67	68	r
68	69	i
69	70	j
70	71	p
71	72	e
72	73	n
73
