0	1	n
1	2	o
2	3	u
3	4	t
4	5	o
5	6	c
6	7	h
7	8	t
8	9	o
9	10	c
10	11	h
11	12	i
12	13	s
13	14	d
14	15	e
15	16	o
16	17	p
17	18	l
18	19	o
19	20	s
20	21	s
21	22	i
22	23	n
23	24	g
24	25	m
25	26	i
26	27	s
27	28	s
28	29	c
29	30	h
30	31	i
31	32	e
32	33	n
33	34	e
34	35	e
35	36	n
36	37	v
37	38	o
38	39	u
39	40	d
40	41	i
41	42	g
42	43	e
43	44	r
44	45	d
45	46	a
46	47	n
47	48	j
48	49	e
49	50	d
50	51	e
51	52	n
52	53	k
53	54	t
54	55	<silence>
54	55	w
55	56	e
56	57	b
57	58	e
58	59	g
59	60	i
60	61	n
61	62	n
62	63	e
63	64	n
64	65	m
65	66	e
66	67	t
67	68	e
68	69	e
69	70	n
70	71	m
71	72	i
72	73	v
73	74	e
74	75	r
75	76	s
76	77	t
77	78	a
78	79	n
79	80	d
80	81	<silence>
80
