0	1	d
1	2	r
2	3	o
3	4	n
4	5	k
5	6	e
6	7	n
7	8	i
8	9	s
9	10	d
10	11	u
11	12	s
12	13	e
13	14	e
14	15	n
15	16	i
16	17	n
17	18	t
18	19	e
19	20	r
20	21	e
21	22	s
22	23	s
23	24	a
24	25	n
25	26	t
26	27	e
27	28	p
28	29	a
29	30	r
30	31	t
31	32	i
32	33	j
33	34	v
34	35	o
35	36	o
36	37	r
37	38	w
38	39	i
39	40	e
40	41	h
41	42	e
42	43	t
43	44	k
44	45	a
45	46	n
46	47	b
47	48	e
48	49	t
49	50	a
50	51	l
51	52	e
52	53	n
53	54	e
54	55	h
55	56	h
56	57	e
57	58	t
58	59	b
59	60	e
60	61	d
61	62	r
62	63	i
63	64	j
64	65	f
65	66	o
66	67	n
67	68	d
68	69	e
69	70	r
70
