0	1	e
1	2	n
2	3	h
3	4	e
4	5	t
5	6	n
6	7	u
7	8	m
8	9	m
9	10	e
10	11	r
11	12	s
12	13	t
13	14	i
14	15	l
15	16	i
16	17	n
17	18	m
18	19	i
19	20	j
20	21	v
21	22	a
22	23	n
23	24	v
24	25	a
25	26	n
26	27	d
27	28	i
28	29	k
29	30	h
30	31	o
31	32	u
32	33	t
33	34	m
34	35	a
35	36	g
36	37	d
37	38	a
38	39	n
39	40	g
40	41	e
41	42	e
42	43	n
43	44	g
44	45	r
45	46	o
46	47	t
47	48	e
48	49	h
49	50	i
50	51	t
51	52	z
52	53	i
53	54	j
54	55	n
55	56	h
56	57	e
57	58	t
58	59	g
59	60	r
60	61	o
61	62	e
62	63	i
63	64	t
64	65	w
65	66	e
66	67	l
67	68	u
68	69	i
69	70	t
70
