0	1	z
1	2	e
2	3	g
3	4	t
4	5	d
5	6	a
6	7	t
7	8	o
8	9	p
9	10	d
10	11	e
11	12	g
12	13	e
13	14	k
14	15	s
15	16	t
16	17	e
17	18	p
18	19	l
19	20	a
20	21	a
21	22	t
22	23	s
23	24	e
24	25	n
25	26	k
26	27	o
27	28	m
28	29	j
29	30	e
30	31	i
31	32	n
32	33	t
33	34	e
34	35	r
35	36	e
36	37	s
37	38	s
38	39	a
39	40	n
40	41	t
41	42	e
42	43	t
43	44	a
44	45	a
45	46	l
46	47	v
47	48	e
48	49	r
49	50	s
50	51	c
51	52	h
52	53	i
53	54	j
54	55	n
55	56	s
56	57	e
57	58	l
58	59	e
59	60	n
60	61	t
61	62	e
62	63	g
63	64	e
64	65	n
65	66	z
66	67	e
67	68	l
68	69	f
69	70	s
70	71	o
71	72	p
72	73	h
73	74	e
74	75	t
75	76	t
76	77	o
77	78	i
78	79	l
79	80	e
80	81	t
81	82	v
82	83	a
83	84	n
84
