0	1	b
1	2	o
2	3	e
3	4	r
4	5	e
5	6	n
6	7	r
7	8	o
8	9	c
9	10	k
10	11	i
11	12	s
12	13	e
13	14	e
14	15	n
15	16	n
16	17	a
17	18	a
18	19	m
19	20	v
20	21	o
21	22	o
22	23	r
23	24	e
24	25	e
25	26	n
26	27	v
27	28	a
28	29	r
29	30	i
30	31	a
31	32	n
32	33	t
33	34	v
34	35	a
35	36	n
36	37	d
37	38	e
38	39	s
39	40	t
40	41	r
41	42	e
42	43	e
43	44	k
44	45	t
45	46	a
46	47	a
47	48	l
48	49	e
49	50	n
50	51	d
51	52	i
52	53	a
53	54	l
54	55	e
55	56	c
56	57	t
57	58	m
58	59	u
59	60	z
60	61	i
61	62	e
62	63	k
63	64	<silence>
63	64	b
64	65	i
65	66	j
66	67	d
67	68	i
68	69	t
69
